Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Property_Area,Loan_Status
Female,Yes,4,Graduate,No,1660000,1460000,8200000,60,Semiurban,Yes
Female,Yes,4,Graduate,No,1960000,590000,7300000,120,Urban,Yes
Female,Yes,3,Graduate,Yes,970000,930000,3900000,36,Semiurban,Yes
Female,Yes,4,Not Graduate,No,1290000,1760000,1300000,60,Urban,Yes
Female,Yes,4,Graduate,Yes,1940000,1120000,1100000,60,Semiurban,No
Female,No,4,Graduate,No,950000,1200000,6100000,36,Rural,Yes
Female,Yes,4,Graduate,Yes,880000,1130000,4000000,300,Semiurban,No
Female,No,4,Graduate,Yes,1310000,730000,3900000,240,Rural,No
Male,Yes,4,Graduate,Yes,570000,1320000,1800000,180,Urban,Yes
Male,No,2,Graduate,No,890000,1960000,7800000,180,Semiurban,No
Female,No,1,Not Graduate,No,930000,1530000,8500000,240,Urban,Yes
Female,Yes,3,Graduate,No,780000,1450000,7800000,24,Semiurban,Yes
Female,Yes,1,Not Graduate,No,1610000,1240000,3600000,36,Rural,No
Female,Yes,3,Not Graduate,Yes,800000,910000,2800000,300,Rural,No
Female,Yes,1,Not Graduate,Yes,980000,680000,4300000,36,Semiurban,Yes
Female,Yes,3,Not Graduate,No,960000,780000,8800000,36,Urban,Yes
Female,No,4,Graduate,No,1930000,1590000,3800000,120,Urban,No
Female,Yes,1,Graduate,No,1000000,1220000,4300000,300,Rural,No
Male,No,1,Graduate,Yes,1580000,1240000,4400000,360,Urban,No
Female,No,3,Graduate,No,590000,1910000,1900000,120,Rural,Yes
Male,No,3,Graduate,Yes,550000,690000,5300000,180,Semiurban,No
Female,Yes,2,Graduate,No,790000,1910000,6400000,36,Rural,No
Female,Yes,4,Not Graduate,No,1530000,920000,1800000,36,Semiurban,No
Male,Yes,4,Graduate,No,660000,1180000,1900000,24,Semiurban,No
Female,Yes,2,Graduate,No,1680000,610000,1600000,24,Urban,Yes
Male,Yes,3,Not Graduate,Yes,1400000,1070000,2200000,180,Urban,No
Female,Yes,4,Graduate,Yes,1670000,990000,1900000,12,Semiurban,Yes
Female,No,3,Not Graduate,Yes,1650000,620000,1000000,300,Semiurban,No
Male,Yes,4,Graduate,Yes,510000,920000,6500000,360,Rural,Yes
Female,No,1,Graduate,Yes,1880000,550000,1200000,24,Rural,Yes
Male,No,1,Not Graduate,No,590000,870000,5400000,180,Semiurban,No
Female,Yes,4,Graduate,No,1660000,690000,2200000,180,Urban,Yes
Male,Yes,4,Graduate,No,660000,1510000,9900000,240,Urban,No
Male,Yes,4,Not Graduate,Yes,1530000,540000,7100000,240,Rural,No
Female,Yes,2,Graduate,Yes,1300000,1680000,2800000,36,Semiurban,Yes
Female,Yes,4,Graduate,No,950000,1780000,9900000,12,Rural,Yes
Male,Yes,2,Graduate,Yes,820000,1730000,9500000,300,Urban,Yes
Female,No,2,Graduate,No,1990000,1160000,9200000,240,Rural,No
Female,No,1,Not Graduate,No,1490000,1350000,4400000,36,Rural,Yes
Female,No,4,Not Graduate,No,1900000,1290000,2800000,240,Urban,No
Male,No,1,Not Graduate,Yes,560000,870000,6000000,240,Urban,Yes
Male,No,1,Not Graduate,Yes,1220000,1160000,4900000,120,Urban,No
Male,No,2,Not Graduate,Yes,880000,1930000,1600000,360,Semiurban,No
Male,Yes,3,Graduate,Yes,1600000,1780000,4300000,12,Semiurban,Yes
Male,Yes,2,Graduate,No,1660000,1510000,9500000,24,Rural,Yes
Male,Yes,1,Not Graduate,No,1120000,1220000,3300000,360,Rural,Yes
Male,No,2,Not Graduate,No,1270000,1540000,500000,24,Rural,Yes
Male,No,2,Graduate,Yes,880000,1590000,500000,360,Rural,No
Male,No,2,Not Graduate,Yes,1120000,1110000,4100000,300,Semiurban,Yes
Female,Yes,4,Not Graduate,Yes,1530000,1510000,1600000,24,Rural,Yes
Male,Yes,2,Graduate,No,610000,630000,7200000,24,Rural,No
Female,Yes,1,Graduate,Yes,1590000,1490000,7500000,120,Urban,Yes
Female,No,2,Not Graduate,Yes,930000,560000,5200000,12,Semiurban,No
Female,No,4,Not Graduate,Yes,1340000,1390000,4400000,60,Rural,Yes
Male,No,1,Graduate,No,600000,1160000,1900000,300,Urban,No
Male,Yes,2,Not Graduate,No,1510000,1460000,3000000,36,Semiurban,Yes
Male,No,1,Not Graduate,No,1270000,1720000,5900000,12,Urban,No
Male,Yes,4,Graduate,No,1520000,1850000,2900000,120,Urban,No
Female,Yes,3,Not Graduate,Yes,1060000,530000,9900000,36,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1290000,1940000,4600000,300,Urban,No
Male,Yes,4,Not Graduate,Yes,960000,1740000,2900000,36,Rural,Yes
Male,Yes,1,Graduate,No,1540000,670000,2900000,12,Urban,Yes
Male,Yes,1,Graduate,No,990000,1310000,2900000,240,Semiurban,No
Male,Yes,3,Graduate,No,1680000,1750000,2100000,60,Semiurban,Yes
Female,No,3,Not Graduate,Yes,1080000,1320000,7900000,12,Semiurban,Yes
Male,Yes,3,Not Graduate,No,1140000,1600000,2500000,180,Semiurban,Yes
Female,No,4,Not Graduate,No,1330000,1800000,6200000,120,Rural,No
Male,Yes,4,Graduate,Yes,1240000,500000,2000000,36,Urban,No
Female,Yes,3,Not Graduate,Yes,1130000,1360000,1100000,300,Rural,No
Male,Yes,3,Graduate,No,910000,1410000,7900000,60,Urban,Yes
Male,No,3,Not Graduate,Yes,840000,1050000,900000,240,Semiurban,No
Female,Yes,2,Not Graduate,No,1550000,1570000,8300000,180,Urban,Yes
Female,Yes,2,Graduate,No,1620000,610000,2900000,360,Rural,Yes
Female,No,3,Not Graduate,Yes,1890000,630000,1200000,240,Rural,No
Male,No,4,Not Graduate,No,980000,1950000,500000,360,Rural,Yes
Female,No,1,Graduate,Yes,1490000,1970000,6600000,240,Urban,No
Male,No,4,Not Graduate,No,1720000,1660000,3700000,24,Rural,No
Male,Yes,1,Not Graduate,No,850000,1250000,8200000,36,Rural,No
Female,Yes,3,Not Graduate,No,980000,600000,5100000,300,Urban,No
Female,No,2,Not Graduate,No,850000,1210000,6400000,300,Rural,Yes
Male,Yes,2,Graduate,Yes,1150000,1510000,4700000,24,Urban,No
Male,No,1,Not Graduate,Yes,870000,1490000,900000,360,Rural,Yes
Female,No,3,Graduate,No,1630000,1030000,9400000,240,Semiurban,Yes
Female,No,2,Not Graduate,Yes,1280000,1300000,2600000,36,Urban,No
Female,Yes,3,Not Graduate,Yes,840000,1230000,6700000,180,Rural,Yes
Male,No,3,Not Graduate,No,760000,1220000,600000,240,Semiurban,Yes
Male,Yes,1,Graduate,No,750000,600000,700000,60,Urban,Yes
Male,Yes,3,Not Graduate,No,1730000,1260000,500000,60,Rural,Yes
Male,Yes,3,Not Graduate,Yes,860000,1460000,1500000,12,Urban,Yes
Male,No,1,Graduate,No,560000,750000,7300000,300,Semiurban,No
Male,Yes,2,Graduate,No,1460000,790000,9700000,60,Rural,No
Female,No,4,Not Graduate,No,710000,700000,2100000,240,Urban,Yes
Male,Yes,3,Graduate,Yes,1270000,870000,500000,240,Rural,No
Male,Yes,1,Graduate,Yes,890000,660000,3700000,12,Semiurban,Yes
Male,Yes,2,Not Graduate,Yes,1810000,1810000,5000000,120,Urban,No
Female,No,3,Graduate,No,1510000,1830000,3400000,24,Semiurban,No
Male,No,4,Not Graduate,Yes,1720000,1120000,8100000,240,Rural,Yes
Male,No,2,Graduate,Yes,1370000,1590000,5600000,36,Semiurban,Yes
Female,No,1,Graduate,No,720000,1280000,1300000,12,Semiurban,Yes
Male,Yes,3,Not Graduate,No,1970000,1170000,7600000,24,Urban,No
Male,Yes,1,Not Graduate,Yes,1690000,1640000,7900000,60,Urban,No
Male,No,4,Not Graduate,Yes,1420000,700000,700000,12,Rural,No
Male,No,4,Graduate,Yes,890000,690000,5200000,240,Semiurban,Yes
Male,No,1,Not Graduate,Yes,1220000,980000,3000000,240,Semiurban,No
Female,No,3,Not Graduate,No,1270000,1890000,8800000,300,Urban,No
Female,Yes,1,Not Graduate,No,1800000,1940000,5700000,24,Urban,No
Female,No,2,Graduate,Yes,1830000,1950000,1600000,360,Rural,No
Male,No,1,Not Graduate,No,1700000,1230000,7000000,300,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1490000,1990000,8700000,24,Semiurban,No
Male,No,3,Graduate,Yes,1590000,1650000,6900000,60,Urban,No
Female,Yes,3,Not Graduate,Yes,1220000,620000,9700000,120,Semiurban,Yes
Male,No,4,Not Graduate,Yes,1070000,1290000,2700000,36,Semiurban,No
Male,Yes,4,Not Graduate,No,670000,1870000,1000000,60,Rural,Yes
Female,No,2,Not Graduate,Yes,1800000,1610000,4700000,180,Urban,No
Male,No,4,Graduate,Yes,1080000,770000,8700000,240,Urban,Yes
Female,No,4,Not Graduate,No,1710000,1130000,10000000,60,Urban,Yes
Female,No,4,Not Graduate,Yes,1430000,550000,8700000,360,Urban,No
Female,No,3,Not Graduate,No,1880000,1030000,6300000,300,Rural,No
Male,Yes,4,Not Graduate,Yes,650000,1300000,9800000,240,Rural,No
Male,No,1,Not Graduate,No,1390000,1200000,6500000,36,Semiurban,Yes
Male,Yes,1,Graduate,No,1360000,620000,4600000,12,Rural,Yes
Male,Yes,3,Not Graduate,Yes,1160000,1260000,6900000,360,Rural,Yes
Male,Yes,2,Not Graduate,Yes,1410000,840000,2800000,240,Urban,Yes
Male,Yes,2,Not Graduate,Yes,1500000,1520000,3900000,360,Semiurban,Yes
Male,No,3,Graduate,Yes,1540000,550000,2900000,180,Urban,No
Female,No,1,Not Graduate,Yes,1390000,830000,1900000,360,Urban,No
Male,No,3,Graduate,No,1150000,730000,3100000,24,Rural,No
Female,No,4,Not Graduate,Yes,1170000,1150000,1900000,60,Semiurban,Yes
Male,Yes,3,Not Graduate,Yes,950000,1520000,2000000,300,Semiurban,Yes
Male,Yes,2,Graduate,Yes,1820000,1310000,6600000,240,Rural,No
Male,Yes,1,Not Graduate,No,1040000,800000,6000000,12,Urban,Yes
Female,No,2,Not Graduate,Yes,1950000,1510000,2600000,60,Urban,Yes
Female,No,2,Graduate,No,740000,710000,9100000,180,Rural,Yes
Female,No,1,Not Graduate,No,930000,1110000,6900000,60,Semiurban,No
Female,No,4,Not Graduate,Yes,1730000,1820000,2100000,180,Semiurban,Yes
Male,Yes,1,Not Graduate,Yes,1150000,740000,6300000,12,Rural,Yes
Female,No,1,Graduate,No,1030000,1140000,1500000,360,Urban,No
Male,No,3,Graduate,No,1000000,1770000,600000,36,Rural,No
Male,Yes,1,Not Graduate,No,1050000,1660000,9700000,120,Semiurban,No
Female,Yes,3,Not Graduate,No,1250000,1540000,6200000,36,Semiurban,Yes
Female,No,2,Graduate,No,1040000,570000,7400000,300,Semiurban,No
Female,No,1,Not Graduate,Yes,720000,960000,1600000,120,Semiurban,Yes
Female,Yes,4,Not Graduate,No,1870000,1980000,5900000,240,Rural,Yes
Female,No,3,Graduate,No,1560000,1720000,700000,36,Urban,Yes
Female,Yes,3,Graduate,No,930000,1190000,8100000,36,Rural,Yes
Female,Yes,4,Graduate,No,1160000,1410000,7000000,24,Rural,Yes
Female,No,3,Not Graduate,No,1060000,1440000,9600000,120,Urban,Yes
Male,Yes,3,Not Graduate,Yes,850000,1830000,7000000,180,Semiurban,Yes
Female,No,4,Graduate,Yes,890000,1270000,500000,24,Urban,Yes
Female,No,2,Not Graduate,No,1560000,710000,8400000,24,Semiurban,Yes
Male,No,1,Not Graduate,Yes,1950000,600000,6900000,180,Semiurban,Yes
Female,No,1,Not Graduate,No,1500000,1490000,3500000,60,Rural,Yes
Male,Yes,1,Not Graduate,Yes,1660000,800000,10000000,60,Urban,No
Male,No,1,Graduate,Yes,1780000,830000,2200000,120,Rural,Yes
Female,No,1,Not Graduate,Yes,1610000,980000,5000000,300,Urban,Yes
Male,Yes,1,Graduate,Yes,1910000,910000,3000000,60,Urban,No
Male,No,3,Not Graduate,No,1970000,1990000,2800000,180,Rural,Yes
Male,No,1,Graduate,Yes,1070000,1930000,4500000,360,Urban,No
Male,No,3,Graduate,No,1180000,1440000,3400000,12,Urban,No
Female,No,4,Not Graduate,Yes,1610000,1910000,1200000,180,Urban,No
Male,Yes,2,Graduate,Yes,1850000,850000,7200000,36,Urban,Yes
Female,Yes,3,Not Graduate,Yes,920000,1450000,5000000,180,Urban,No
Male,No,2,Not Graduate,No,1150000,1770000,6400000,180,Rural,Yes
Male,Yes,4,Graduate,Yes,870000,1660000,5000000,36,Urban,No
Male,Yes,1,Graduate,Yes,980000,1920000,9300000,60,Urban,Yes
Male,Yes,2,Graduate,Yes,650000,960000,9400000,180,Rural,Yes
Female,Yes,2,Graduate,No,1020000,620000,7800000,120,Rural,No
Female,No,4,Not Graduate,Yes,1800000,1390000,500000,60,Rural,Yes
Male,Yes,4,Not Graduate,Yes,1700000,1690000,9900000,36,Urban,Yes
Male,No,4,Graduate,No,1070000,1750000,6600000,24,Rural,No
Female,No,3,Graduate,Yes,1430000,570000,5000000,300,Urban,No
Male,Yes,3,Graduate,Yes,1840000,1690000,2300000,360,Semiurban,Yes
Male,No,2,Not Graduate,No,1680000,730000,700000,60,Urban,Yes
Male,Yes,4,Graduate,Yes,530000,1140000,9000000,60,Rural,No
Female,No,2,Not Graduate,No,1160000,1100000,6200000,120,Rural,Yes
Female,No,1,Not Graduate,No,1180000,1430000,9400000,60,Rural,No
Female,Yes,4,Graduate,No,1070000,1270000,8300000,300,Rural,No
Male,No,3,Not Graduate,Yes,1680000,660000,6700000,24,Semiurban,Yes
Male,Yes,4,Not Graduate,No,1400000,1390000,8100000,120,Semiurban,Yes
Female,No,2,Not Graduate,No,1060000,1760000,1400000,300,Rural,No
Female,No,3,Graduate,Yes,1840000,1180000,5800000,60,Rural,No
Female,Yes,1,Graduate,Yes,980000,620000,2200000,12,Rural,No
Female,Yes,1,Not Graduate,Yes,610000,780000,7300000,120,Semiurban,Yes
Male,Yes,2,Graduate,No,1570000,830000,6300000,120,Semiurban,No
Female,No,4,Not Graduate,No,1730000,1670000,4800000,360,Urban,Yes
Male,Yes,1,Graduate,No,1110000,840000,10000000,36,Rural,Yes
Female,Yes,2,Not Graduate,Yes,540000,790000,5300000,36,Urban,Yes
Male,Yes,3,Graduate,No,620000,630000,6000000,60,Rural,No
Female,Yes,3,Graduate,No,1360000,720000,2400000,120,Urban,Yes
Female,No,2,Not Graduate,Yes,1890000,1760000,2800000,360,Semiurban,Yes
Female,No,4,Graduate,No,550000,1000000,8300000,60,Semiurban,No
Female,No,4,Not Graduate,Yes,1600000,730000,4400000,360,Semiurban,Yes
Male,No,4,Graduate,Yes,1820000,1310000,6200000,240,Rural,Yes
Female,No,4,Graduate,No,1180000,1100000,2700000,120,Rural,Yes
Male,No,2,Graduate,No,1000000,910000,4500000,24,Semiurban,Yes
Male,Yes,2,Graduate,No,960000,510000,6300000,180,Semiurban,Yes
Male,No,3,Not Graduate,No,1860000,1460000,1800000,240,Semiurban,No
Male,Yes,3,Not Graduate,Yes,1090000,1230000,4700000,60,Semiurban,No
Female,Yes,4,Not Graduate,Yes,880000,1260000,1500000,240,Urban,No
Male,Yes,1,Not Graduate,No,740000,1700000,9000000,36,Rural,No
Male,Yes,1,Graduate,Yes,1840000,1430000,3500000,180,Semiurban,No
Male,No,3,Graduate,Yes,950000,1910000,2100000,300,Urban,Yes
Female,No,3,Not Graduate,No,970000,1900000,8600000,12,Semiurban,No
Female,No,2,Not Graduate,Yes,1360000,890000,5700000,180,Semiurban,No
Female,Yes,3,Not Graduate,No,780000,1830000,5000000,360,Rural,No
Female,No,3,Not Graduate,No,1440000,1460000,8200000,240,Urban,No
Male,No,4,Graduate,Yes,1490000,1510000,2900000,120,Rural,Yes
Male,No,1,Not Graduate,No,830000,920000,2900000,240,Semiurban,No
Female,No,1,Graduate,Yes,1520000,1610000,5900000,180,Urban,No
Male,No,2,Graduate,Yes,710000,730000,2600000,360,Urban,No
Male,No,1,Graduate,Yes,1420000,1580000,9400000,180,Rural,No
Male,Yes,4,Graduate,Yes,1010000,720000,4600000,180,Urban,Yes
Female,Yes,4,Graduate,No,1640000,1010000,1600000,300,Semiurban,No
Female,No,2,Graduate,No,1260000,920000,5900000,36,Rural,No
Male,Yes,3,Graduate,Yes,1430000,1270000,4700000,36,Rural,Yes
Female,Yes,3,Not Graduate,Yes,550000,990000,10000000,300,Urban,No
Female,No,4,Not Graduate,No,1520000,520000,4200000,300,Urban,No
Female,Yes,2,Graduate,No,1340000,650000,900000,180,Semiurban,Yes
Female,No,4,Not Graduate,Yes,1200000,1830000,5800000,24,Rural,No
Female,Yes,1,Graduate,No,670000,1050000,2100000,240,Urban,Yes
Male,No,1,Not Graduate,Yes,750000,1500000,8900000,300,Urban,Yes
Female,Yes,4,Not Graduate,No,1800000,1210000,2100000,240,Rural,No
Male,Yes,3,Not Graduate,Yes,1290000,1790000,3600000,36,Rural,No
Male,Yes,1,Not Graduate,No,1730000,690000,6600000,240,Rural,Yes
Female,Yes,2,Not Graduate,No,1610000,1850000,3800000,24,Rural,Yes
Male,No,3,Not Graduate,No,1950000,1250000,6300000,12,Urban,No
Male,Yes,1,Not Graduate,Yes,810000,1240000,7300000,180,Rural,No
Male,No,4,Not Graduate,Yes,1780000,1070000,9400000,60,Rural,No
Female,No,3,Graduate,Yes,650000,1230000,800000,12,Semiurban,Yes
Female,Yes,3,Graduate,No,1950000,1210000,8800000,24,Urban,No
Male,Yes,1,Graduate,Yes,550000,1470000,9900000,24,Rural,No
Female,No,2,Not Graduate,No,660000,1140000,7600000,36,Urban,Yes
Female,Yes,1,Graduate,Yes,580000,1060000,7400000,300,Rural,Yes
Female,No,1,Graduate,Yes,1360000,1330000,8500000,36,Semiurban,No
Female,Yes,1,Not Graduate,Yes,1900000,1180000,9300000,36,Rural,No
Male,No,1,Graduate,No,1170000,980000,800000,60,Rural,No
Male,Yes,1,Graduate,Yes,1630000,1320000,1800000,240,Semiurban,Yes
Female,Yes,4,Not Graduate,No,1140000,1560000,8500000,24,Semiurban,Yes
Female,No,1,Not Graduate,No,1140000,1770000,6400000,300,Rural,Yes
Male,No,2,Graduate,No,1030000,1520000,8300000,36,Rural,No
Male,No,3,Not Graduate,No,1570000,1710000,9300000,12,Urban,No
Female,Yes,4,Not Graduate,Yes,1300000,860000,5500000,360,Rural,No
Male,Yes,2,Graduate,No,1330000,520000,1700000,24,Semiurban,Yes
Female,Yes,1,Not Graduate,No,600000,1170000,7800000,120,Rural,No
Female,Yes,2,Graduate,Yes,1680000,1030000,3400000,36,Semiurban,No
Male,No,3,Not Graduate,No,1230000,1040000,8600000,360,Urban,No
Male,No,2,Not Graduate,No,910000,1380000,7100000,24,Urban,No
Female,Yes,1,Graduate,Yes,1270000,1390000,2200000,120,Semiurban,No
Female,Yes,3,Not Graduate,No,1320000,1830000,2500000,120,Urban,No
Male,Yes,1,Not Graduate,Yes,1360000,1370000,9300000,60,Urban,Yes
Female,No,1,Graduate,No,820000,1990000,4800000,60,Urban,Yes
Male,No,4,Not Graduate,No,1540000,810000,6100000,240,Rural,Yes
Female,Yes,3,Not Graduate,Yes,1630000,1380000,6000000,36,Rural,Yes
Male,No,3,Not Graduate,No,1240000,1380000,5100000,180,Urban,No
Male,Yes,1,Not Graduate,Yes,640000,1010000,1100000,240,Rural,No
Male,Yes,2,Graduate,No,1150000,1830000,9900000,24,Urban,Yes
Female,No,3,Not Graduate,Yes,1130000,690000,7300000,300,Semiurban,No
Female,No,2,Not Graduate,No,930000,1200000,7700000,180,Rural,Yes
Male,No,2,Not Graduate,Yes,1310000,1500000,6900000,300,Rural,Yes
Female,No,3,Not Graduate,No,770000,1220000,2300000,60,Rural,No
Male,Yes,2,Not Graduate,No,1140000,1920000,4500000,300,Semiurban,Yes
Male,No,3,Graduate,Yes,1470000,510000,10000000,180,Urban,No
Female,No,4,Not Graduate,No,1460000,1340000,7000000,300,Semiurban,No
Female,No,3,Graduate,No,1700000,1360000,8600000,36,Rural,Yes
Male,No,3,Graduate,No,1130000,1040000,2100000,120,Rural,No
Female,Yes,3,Graduate,Yes,1240000,1500000,6200000,12,Semiurban,Yes
Female,Yes,4,Graduate,No,970000,860000,7200000,180,Rural,Yes
Male,No,2,Not Graduate,No,1560000,960000,5100000,120,Semiurban,Yes
Male,No,4,Graduate,No,1660000,640000,6900000,180,Urban,Yes
Female,Yes,2,Not Graduate,Yes,890000,1070000,1800000,36,Urban,Yes
Male,Yes,3,Not Graduate,Yes,660000,1110000,8100000,120,Urban,Yes
Male,No,3,Graduate,Yes,1870000,1620000,2000000,300,Urban,No
Female,Yes,4,Graduate,No,1570000,1890000,3700000,180,Semiurban,No
